head,relation,tail,label
char_poole,PARTECIPA_COME_DESTINANTE,evt_waiting_in_theatre,0
obj_powders,PARTECIPA_COME_OGGETTO_BERSAGLIO,evt_examination,1
char_jekyll,PARTECIPA_COME_SOGGETTO,evt_visit_jekyll_house,0
char_utterson,PARTECIPA_COME_SOGGETTO,evt_collision,0
evt_poole_questions_voice,COME,LOTTA_SCONTRO,0
char_jekyll,PARTECIPA_COME_SOGGETTO,evt_poole_visit,0
char_lanyon,PARTECIPA_COME_SOGGETTO,evt_jekyll_promise,0
evt_hyde_house_search,AVVIENE_DOPO,evt_conversation_street,0
char_child,PARTECIPA_COME_DESTINANTE,evt_cruelty,0
evt_sleepless_night,AVVIENE_DOPO,evt_repeated_transformations,0
char_utterson,PARTECIPA_COME_SOGGETTO,evt_waiting,0
char_jekyll,PARTECIPA_COME_SOGGETTO,evt_final_transformation,1
evt_murder_danvers,AVVIENE_DOPO,evt_drug_creation,0
loc_fairbanks,COME,ALL_APERTO,0
evt_jekyll_seclusion,AVVIENE_DOPO,evt_maid_faints,0
char_jekyll,PARTECIPA_COME_SOGGETTO,evt_footsteps_heard,0
char_hyde,PARTECIPA_COME_OGGETTO_BERSAGLIO,evt_jekyll_confined,0
org_pgaf,PROVIENE_DA,loc_back_passage,0
evt_utterson_identifies_body,AVVIENE_IN,loc_jekyll_house,0
evt_utterson_demands_entry,AVVIENE_DOPO,evt_utterson_demands_entry,0
obj_phial,PARTECIPA_COME_SOGGETTO,evt_poole_identifies_hyde,0
evt_jekyll_letter_received,AVVIENE_IN,loc_cavendish_square,0
evt_conversation_lanyon,AVVIENE_DOPO,evt_hyde_disappears,0
evt_jekyll_letter_received,COME,TRADIMENTO_ROTTURA,0
char_driver,PARTECIPA_COME_OGGETTO_BERSAGLIO,evt_invitation,0
evt_cab_ride,AVVIENE_IN,loc_streets,1
evt_poole_identifies_hyde,COME,SCONFITTA,0
org_pgaf,COME,AIUTANTE_MAGICO,1
char_lanyon,PARTECIPA_COME_SPETTATORE_NEUTRALE,evt_drawer_retrieval,0
evt_visitor_arrival,AVVIENE_DOPO,evt_terror,0
char_enfield,PARTECIPA_COME_SOGGETTO,evt_hyde_disappears,0
evt_door_breaking,COME,SACRIFICIO,0
evt_lanyon_death,COME,CAMBIAMENTO_DI_STATO,0
char_jekyll,PARTECIPA_COME_SOGGETTO,evt_envelope_burned,1
char_jekyll,PARTECIPA_COME_OGGETTO_BERSAGLIO,evt_utterson_demands_entry,1
obj_phial,PARTECIPA_COME_SOGGETTO,evt_transformation,0
evt_greeting,AVVIENE_DOPO,evt_utterson_reflection,0
char_jekyll,PARTECIPA_COME_SOGGETTO,evt_transformation_discovery,1
loc_open_court,COME,ALL_APERTO,1
char_jekyll,PARTECIPA_COME_OGGETTO_BERSAGLIO,evt_poole_confession,1
char_woman,PARTECIPA_COME_SOGGETTO,evt_bank_account,0
char_poole,PARTECIPA_COME_AIUTANTE_ALLEATO,evt_letter_reading,0
evt_repeated_transformations,COME,SCONFITTA,0
evt_butler_conversation,PARTECIPA_COME_SOGGETTO,evt_bank_visit,0
char_utterson,PARTECIPA_COME_AIUTANTE_ALLEATO,evt_collision,0
loc_utterson_house,COME,AL_CHIUSO,1
loc_bank,COME,ALL_APERTO,0
evt_utterson_opens_envelope,AVVIENE_DOPO,evt_lanyon_funeral,1
char_jekyll,PARTECIPA_COME_SOGGETTO,evt_terror,1
char_jekyll,PARTECIPA_COME_SOGGETTO,evt_utterson_visits_jekyll,0
