head,relation,tail,label
evt_boarding,AVVIENE_DOPO,,1
evt_hauling,AVVIENE_DOPO,evt_dismissal,1
evt_narrator_sleeps,AVVIENE_IN,ship_pequod,0
evt_strike_tent,AVVIENE_DOPO,evt_narrator_sleeping_plan,0
char_jonah,PARTECIPA_COME_SOGGETTO,evt_disobedience,1
char_jonah,PARTECIPA_COME_SOGGETTO,evt_father_mapple_reads_hymn,0
char_whaleman,PARTECIPA_COME_AIUTANTE_ALLEATO,char_flask,0
char_jonah,PARTECIPA_COME_SOGGETTO,evt_settle_bill,0
char_queequeg,PARTECIPA_COME_AIUTANTE_ALLEATO,evt_contemplation_water,0
evt_whale_vomits,AVVIENE_IN,loc_sea,1
evt_ishmael_supper,AVVIENE_DOPO,evt_huzza_porpoise_description,0
evt_sulphur_bottom_description,COME,SACRIFICIO,0
evt_captain_hardy_killed,AVVIENE_IN,loc_forecastle,0
loc_coast_of_japan,COME,LA_STRADA,0
evt_father_mapple_reads_hymn,AVVIENE_DOPO,evt_father_mapple_kneels,1
evt_ahab_confession,COME,VITTORIA,0
char_edmund_burke,PARTECIPA_COME_DONATORE,evt_whaling_business,1
evt_ishmael_covers_queequeg,COME,TRADIMENTO_ROTTURA,0
loc_battery,COME,AL_CHIUSO,0
evt_crew_revelry,AVVIENE_IN,loc_bar,1
evt_narrator_reveals_whaling_plan,AVVIENE_DOPO,evt_recovery_appearance,0
loc_mast,COME,ALL_APERTO,0
evt_filling_goblets,AVVIENE_IN,loc_bed,0
evt_sea_storm,AVVIENE_DOPO,evt_queequeg_whittling,0
evt_ishmael_sleeps,AVVIENE_IN,loc_foretop,0
evt_ramadan_ends,PARTECIPA_COME_OGGETTO_BERSAGLIO,char_nathan_coleman,0
char_chambermaid,PARTECIPA_COME_SOGGETTO,evt_jonah_confession,0
char_ishmael,PROVIENE_DA,loc_ship,0
evt_god_delivers,AVVIENE_DOPO,evt_speaker_calls_god,1
evt_bedtime_chat,PARTECIPA_COME_SOGGETTO,evt_disobedience,0
char_porpoise,PARTECIPA_COME_OPPONENTE_RIVALE,evt_captain_threatens,0
char_whale,PARTECIPA_COME_OPPONENTE_RIVALE,evt_narrator_sings_out,0
evt_chests_aboard,AVVIENE_IN,loc_bottomless_deeps,0
char_whalemen,PARTECIPA_COME_AMANTE_AMATO,evt_breakfast,0
evt_thrasher_attacks,COME,RITORNO,0
evt_ahab_encounter,AVVIENE_IN,loc_chapel,0
char_elijah,PARTECIPA_COME_OPPONENTE_RIVALE,evt_encounter_peleg,0
loc_broad_sea,COME,AL_CHIUSO,0
evt_loss_of_identity,COME,SACRIFICIO,0
evt_wedding_feast_story,COME,ESPOSIZIONE,0
evt_congregation_condenses,AVVIENE_DOPO,evt_father_mapple_rises,1
loc_wharf,COME,AL_CHIUSO,1
evt_gold_offering,COME,CAMBIAMENTO_DI_STATO,0
evt_elijah_following,PARTECIPA_COME_OGGETTO_BERSAGLIO,evt_morning_stroll,0
evt_signing,COME,RITORNO,0
evt_waking_in_bed,AVVIENE_IN,loc_pacific_coast,0
evt_standing_masthead,COME,ESPOSIZIONE,0
char_bildad,PARTECIPA_COME_SOGGETTO,evt_pilots_depart,1
char_father_mapple,PARTECIPA_COME_SOGGETTO,evt_whaling_business,0
evt_wheelbarrow_story,AVVIENE_DOPO,evt_journey_to_inn,0
evt_canoe_ambush,COME,ALLEANZA_PATTO,0
evt_god_delivers,COME,ESPOSIZIONE,0
evt_captain_interrogation,AVVIENE_DOPO,evt_bedtime_chat,0
evt_father_mapple_mounts_ladder,AVVIENE_IN,loc_pulpit,1
loc_sea,COME,CAMPO_DI_BATTAGLIA,1
char_ishmael,PARTECIPA_COME_SOGGETTO,evt_harpoon_found,1
evt_queequeg_shaving,AVVIENE_IN,loc_bar,0
char_queequeg,PARTECIPA_COME_DESTINATARIO,evt_decision,0
char_folio_whale,PARTECIPA_COME_OGGETTO_BERSAGLIO,evt_madness_onset,0
char_landlord,PARTECIPA_COME_SOGGETTO,evt_landlord_reassures,1
evt_bulkington_departure,AVVIENE_IN,loc_baltimore,0
