head	relation	tail
char_utterson	COME	AIUTANTE_MAGICO
char_utterson	PARTECIPA_COME_DESTINATARIO	evt_story_telling
char_utterson	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_sunday_walk
char_utterson	COME	SOGGETTO_EROE
char_utterson	PARTECIPA_COME_SOGGETTO	evt_dinner
char_utterson	PARTECIPA_COME_SOGGETTO	evt_reading_will
char_utterson	PARTECIPA_COME_SOGGETTO	evt_visit_lanyon
char_utterson	PARTECIPA_COME_SOGGETTO	evt_conversation_lanyon
char_utterson	PARTECIPA_COME_SOGGETTO	evt_sleepless_night
char_utterson	PARTECIPA_COME_SOGGETTO	evt_haunting_door
char_utterson	PARTECIPA_COME_SOGGETTO	evt_encounter_hyde
char_utterson	PARTECIPA_COME_SOGGETTO	evt_utterson_reflection
char_utterson	PARTECIPA_COME_SOGGETTO	evt_visit_jekyll_house
char_utterson	PROVIENE_DA	loc_jekyll_house
char_utterson	PARTECIPA_COME_DESTINATARIO	evt_jekyll_promise
char_utterson	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_hyde_house_search
char_utterson	PARTECIPA_COME_SOGGETTO	evt_utterson_visits_jekyll
char_utterson	PARTECIPA_COME_SOGGETTO	evt_utterson_reads_letter
char_utterson	PARTECIPA_COME_SOGGETTO	evt_envelope_burned
char_utterson	PARTECIPA_COME_SOGGETTO	evt_utterson_dinner_jan8
char_utterson	PARTECIPA_COME_SOGGETTO	evt_utterson_visits_lanyon
char_utterson	PARTECIPA_COME_SOGGETTO	evt_utterson_writes_jekyll
char_utterson	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_jekyll_replies
char_utterson	PARTECIPA_COME_SOGGETTO	evt_lanyon_funeral
char_utterson	PARTECIPA_COME_SOGGETTO	evt_utterson_opens_envelope
char_utterson	PARTECIPA_COME_AMICO	char_jekyll
char_utterson	PARTECIPA_COME_AMICO	char_lanyon
char_utterson	PARTECIPA_COME_SOGGETTO	evt_walk
char_utterson	PARTECIPA_COME_SOGGETTO	evt_gaze
char_utterson	PARTECIPA_COME_SOGGETTO	evt_conversation_street
char_utterson	PARTECIPA_COME_SOGGETTO	evt_enter_court
char_utterson	PARTECIPA_COME_SOGGETTO	evt_greeting
char_utterson	PARTECIPA_COME_SOGGETTO	evt_invitation
char_utterson	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_jekyll_refusal
char_utterson	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_terror
char_utterson	PARTECIPA_COME_SOGGETTO	evt_departure
char_utterson	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_poole_visit
char_utterson	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_poole_confession
char_utterson	PARTECIPA_COME_SOGGETTO	evt_utterson_summoned
char_utterson	PARTECIPA_COME_SOGGETTO	evt_night_journey
char_utterson	PARTECIPA_COME_SOGGETTO	evt_arrival_at_house
char_utterson	PARTECIPA_COME_SOGGETTO	evt_poole_questions_voice
char_utterson	PARTECIPA_COME_DESTINATARIO	evt_poole_reveals_suspicion
char_utterson	PARTECIPA_COME_SOGGETTO	evt_utterson_explanation
char_utterson	PARTECIPA_COME_DESTINATARIO	evt_poole_identifies_hyde
char_utterson	PARTECIPA_COME_SOGGETTO	evt_decision_to_break_door
char_utterson	PARTECIPA_COME_SOGGETTO	evt_preparation_for_attack
char_utterson	PARTECIPA_COME_SOGGETTO	evt_waiting_in_theatre
char_utterson	PARTECIPA_COME_SOGGETTO	evt_utterson_demands_entry
char_utterson	PARTECIPA_COME_DESTINATARIO	evt_voice_pleads_mercy
char_utterson	PARTECIPA_COME_SOGGETTO	evt_door_breaking
char_utterson	PARTECIPA_COME_SOGGETTO	evt_body_discovery
char_utterson	PARTECIPA_COME_SOGGETTO	evt_building_search
char_utterson	PARTECIPA_COME_SOGGETTO	evt_cabinet_examination
char_utterson	PARTECIPA_COME_SOGGETTO	evt_envelope_discovery
char_utterson	PARTECIPA_COME_SOGGETTO	evt_letter_reading
char_enfield	COME	AIUTANTE_MAGICO
char_enfield	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_collision
char_enfield	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_confrontation
char_enfield	PARTECIPA_COME_SOGGETTO	evt_story_telling
char_enfield	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_sunday_walk
char_enfield	PARTECIPA_COME_SOGGETTO	evt_walk
char_enfield	PARTECIPA_COME_SOGGETTO	evt_gaze
char_enfield	PARTECIPA_COME_SOGGETTO	evt_conversation_street
char_enfield	PARTECIPA_COME_SOGGETTO	evt_enter_court
char_enfield	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_terror
char_enfield	PARTECIPA_COME_SOGGETTO	evt_departure
char_hyde	COME	OPPONENTE_ANTAGONISTA
char_hyde	PARTECIPA_COME_SOGGETTO	evt_collision
char_hyde	PARTECIPA_COME_OPPONENTE_RIVALE	evt_confrontation
char_hyde	PARTECIPA_COME_DONATORE	evt_cheque_payment
char_hyde	PARTECIPA_COME_SOGGETTO	evt_pleasures_seeking
char_hyde	PARTECIPA_COME_SOGGETTO	evt_cruelty_to_child
char_hyde	COME	SOGGETTO_EROE
char_hyde	PARTECIPA_COME_SOGGETTO	evt_murder
char_hyde	PARTECIPA_COME_SOGGETTO	evt_destruction_papers
char_hyde	PARTECIPA_COME_SOGGETTO	evt_plan_lanyon
char_hyde	PARTECIPA_COME_SOGGETTO	evt_escape_plan
char_hyde	PARTECIPA_COME_SOGGETTO	evt_hotel_arrival
char_hyde	PARTECIPA_COME_SOGGETTO	evt_letter_writing
char_hyde	PARTECIPA_COME_SOGGETTO	evt_waiting
char_hyde	PARTECIPA_COME_SOGGETTO	evt_cab_ride
char_hyde	PARTECIPA_COME_SOGGETTO	evt_woman_encounter
char_hyde	PARTECIPA_COME_OPPONENTE_RIVALE	evt_repeated_transformations
char_hyde	PARTECIPA_COME_OPPONENTE_RIVALE	evt_encounter_hyde
char_hyde	PARTECIPA_COME_SOGGETTO	evt_hyde_enters_house
char_hyde	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_utterson_jekyll_conversation
char_hyde	PARTECIPA_COME_DONATORE	evt_jekyll_letter_received
char_hyde	PARTECIPA_COME_SOGGETTO	evt_hyde_dictates
char_hyde	PARTECIPA_COME_SOGGETTO	evt_murder_danvers
char_hyde	PARTECIPA_COME_SOGGETTO	evt_hyde_disappears
char_hyde	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_conversation_street
char_hyde	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_poole_sees_figure
char_hyde	COME	OGGETTO_DI_VALORE
char_hyde	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_body_discovery
char_hyde	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_visitor_arrival
char_hyde	PARTECIPA_COME_SOGGETTO	evt_mixture_preparation
char_hyde	PARTECIPA_COME_SOGGETTO	evt_transformation
char_girl	COME	OGGETTO_DI_VALORE
char_girl	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_collision
char_doctor	COME	AIUTANTE_MAGICO
char_doctor	PARTECIPA_COME_OPPONENTE_RIVALE	evt_confrontation
char_cheque_drawer	COME	SOGGETTO_EROE
char_cheque_drawer	PARTECIPA_COME_DONATORE	evt_cheque_payment
loc_london_street	COME	LA_STRADA
loc_london_street	COME	ALL_APERTO
loc_door	COME	AL_CHIUSO
loc_door	COME	SPAZIO_STRATEGICO
loc_chambers	COME	AL_CHIUSO
loc_bank	COME	AL_CHIUSO
evt_sunday_walk	COME	SPOSTAMENTO_VIAGGIO
evt_sunday_walk	AVVIENE_IN	loc_london_street
evt_collision	COME	LOTTA_SCONTRO
evt_collision	AVVIENE_IN	loc_london_street
evt_collision	AVVIENE_DOPO	evt_sunday_walk
evt_confrontation	COME	LOTTA_SCONTRO
evt_confrontation	AVVIENE_IN	loc_london_street
evt_confrontation	AVVIENE_DOPO	evt_collision
evt_confrontation	AVVIENE_DOPO	evt_cruelty_to_child
evt_confrontation	AVVIENE_DOPO	evt_cruelty
evt_confrontation	AVVIENE_IN	loc_jekyll_house
evt_cheque_payment	COME	ALLEANZA_PATTO
evt_cheque_payment	AVVIENE_IN	loc_door
evt_cheque_payment	AVVIENE_DOPO	evt_confrontation
evt_night_in_chambers	AVVIENE_IN	loc_chambers
evt_night_in_chambers	AVVIENE_DOPO	evt_cheque_payment
evt_bank_visit	COME	RIVELAZIONE_SCOPERTA
evt_bank_visit	AVVIENE_IN	loc_bank
