head	relation	tail
char_winston	COME	SOGGETTO_EROE
char_winston	PARTECIPA_COME_SOGGETTO	evt_entering_building
char_winston	PARTECIPA_COME_SOGGETTO	evt_climbing_stairs
char_winston	PARTECIPA_COME_SOGGETTO	evt_observing_posters
char_winston	PARTECIPA_COME_SOGGETTO	evt_drinking_gin
char_winston	PARTECIPA_COME_SOGGETTO	evt_finding_diary
char_winston	PARTECIPA_COME_SOGGETTO	evt_opening_diary
char_winston	PARTECIPA_COME_SOGGETTO	evt_writing_date
char_winston	PARTECIPA_COME_SOGGETTO	evt_writing_panic
char_winston	PARTECIPA_COME_SOGGETTO	evt_rewrite_task
char_winston	PARTECIPA_COME_SOGGETTO	evt_ogilvy_creation
char_winston	PARTECIPA_COME_SOGGETTO	evt_lunch_queue
char_winston	PARTECIPA_COME_SOGGETTO	evt_meeting_syme
char_winston	PARTECIPA_COME_DESTINATARIO	evt_conversation_newspeak
char_winston	PARTECIPA_COME_DESTINATARIO	evt_duckspeak_explanation
char_winston	PARTECIPA_COME_SOGGETTO	evt_diary_writing
char_winston	PARTECIPA_COME_SOGGETTO	evt_encounter_prostitute
char_winston	PARTECIPA_COME_SOGGETTO	evt_marriage_katharine
char_winston	PARTECIPA_COME_SOGGETTO	evt_separation_katharine
char_winston	PARTECIPA_COME_SOGGETTO	evt_reflection_on_proles
char_winston	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_winston_sees_three
char_winston	PARTECIPA_COME_SOGGETTO	evt_discovery
char_winston	PARTECIPA_COME_SOGGETTO	evt_writing
char_winston	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_arrest1
char_winston	PARTECIPA_COME_SOGGETTO	evt_smell_coffee
char_winston	PARTECIPA_COME_SOGGETTO	evt_walk
char_winston	PARTECIPA_COME_SOGGETTO	evt_bomb_warning
char_winston	PARTECIPA_COME_SOGGETTO	evt_enter_pub
char_winston	PARTECIPA_COME_DONATORE	evt_offer_drink
char_winston	PARTECIPA_COME_SOGGETTO	evt_conversation
char_winston	PROVIENE_DA	loc_ministry_of_love
char_winston	PARTECIPA_COME_SOGGETTO	evt_conversation_bar
char_winston	PARTECIPA_COME_SOGGETTO	evt_winston_leaves_bar
char_winston	PARTECIPA_COME_SOGGETTO	evt_discovers_junk_shop
char_winston	PARTECIPA_COME_SOGGETTO	evt_enters_shop
char_winston	PARTECIPA_COME_SOGGETTO	evt_finds_glass_coral
char_winston	PARTECIPA_COME_SOGGETTO	evt_visits_upstairs_room
char_winston	PARTECIPA_COME_SOGGETTO	evt_tour_room
char_winston	PARTECIPA_COME_SOGGETTO	evt_examine_picture
