head	relation	tail
char_virginia_woolf	COME	SOGGETTO_EROE
char_virginia_woolf	PARTECIPA_COME_SOGGETTO	evt_essay_reading
char_virginia_woolf	PARTECIPA_COME_SOGGETTO	evt_alteration_expansion
evt_essay_reading	COME	ESPOSIZIONE
evt_essay_reading	AVVIENE_IN	loc_newnham
evt_essay_reading	AVVIENE_IN	loc_girton
loc_newnham	COME	AL_CHIUSO
loc_newnham	COME	SPAZIO_STRATEGICO
loc_girton	COME	AL_CHIUSO
loc_girton	COME	SPAZIO_STRATEGICO
evt_alteration_expansion	AVVIENE_DOPO	evt_essay_reading
evt_alteration_expansion	COME	CAMBIAMENTO_DI_STATO
char_narrator	PARTECIPA_COME_SOGGETTO	evt_narrator_research
char_narrator	COME	SOGGETTO_EROE
char_narrator	PARTECIPA_COME_SOGGETTO	evt_narrator_consults_history
char_narrator	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_creative_work
char_narrator	PARTECIPA_COME_SOGGETTO	evt_reading_novel
char_narrator	PARTECIPA_COME_SOGGETTO	evt_analyzing_sentences
char_narrator	PARTECIPA_COME_SOGGETTO	evt_contemplation
char_narrator	PARTECIPA_COME_SOGGETTO	evt_trespassing
char_narrator	PARTECIPA_COME_SOGGETTO	evt_strolling
char_narrator	PARTECIPA_COME_SOGGETTO	evt_library_rejection
char_narrator	PARTECIPA_COME_SOGGETTO	evt_chapel_observation
char_narrator	PARTECIPA_COME_SOGGETTO	evt_reflection_on_oxbridge
char_narrator	PARTECIPA_COME_SOGGETTO	evt_reading
char_narrator	PARTECIPA_COME_SOGGETTO	evt_reflection_on_women
char_narrator	COME	AIUTANTE_MAGICO
char_narrator	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_facing_situation
char_narrator	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_taking_fence
char_narrator	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_reading_last_chapter
char_narrator	PARTECIPA_COME_SOGGETTO	evt_morning_observation
char_narrator	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_couple_meeting
char_narrator	PARTECIPA_COME_SOGGETTO	evt_narrator_reflection
char_narrator	PARTECIPA_COME_SOGGETTO	evt_reading_mr_a
char_narrator	PARTECIPA_COME_SOGGETTO	evt_reading_mr_b
char_narrator	PARTECIPA_COME_SOGGETTO	evt_reading_galsworthy_kipling
char_narrator	PARTECIPA_COME_SOGGETTO	evt_writing_decision
char_narrator	PARTECIPA_COME_SOGGETTO	evt_narrator_anticipates_criticisms
char_narrator	PARTECIPA_COME_SOGGETTO	evt_discussion_of_sexes
char_narrator	PARTECIPA_COME_SOGGETTO	evt_discussion_material_things
char_narrator	PARTECIPA_COME_SOGGETTO	evt_quiller_couch_quote
char_narrator	PARTECIPA_COME_SOGGETTO	evt_women_poverty
char_narrator	PARTECIPA_COME_SOGGETTO	evt_narrator_explains_motives
char_narrator	PARTECIPA_COME_SOGGETTO	evt_discussion_reality
char_narrator	PARTECIPA_COME_SOGGETTO	evt_peroration
char_narrator	PARTECIPA_COME_SOGGETTO	evt_warnings_to_women
char_narrator	PARTECIPA_COME_SOGGETTO	evt_final_exhortation
char_narrator	PARTECIPA_COME_SOGGETTO	evt_luncheon_party
char_narrator	PARTECIPA_COME_SOGGETTO	evt_emotional_shift
char_narrator	PARTECIPA_COME_SOGGETTO	evt_memory_comparison
char_narrator	PARTECIPA_COME_SOGGETTO	evt_tennyson_reading
char_narrator	PARTECIPA_COME_SOGGETTO	evt_walk
char_narrator	PARTECIPA_COME_SOGGETTO	evt_reflection_poetry
char_narrator	PARTECIPA_COME_SOGGETTO	evt_missed_turning
char_narrator	PARTECIPA_COME_SOGGETTO	evt_retracing_steps
char_narrator	PARTECIPA_COME_SOGGETTO	evt_spring_walk
char_narrator	PARTECIPA_COME_SOGGETTO	evt_dinner
char_narrator	PARTECIPA_COME_SOGGETTO	evt_conversation
char_narrator	PARTECIPA_COME_SOGGETTO	evt_reflection
char_narrator	PARTECIPA_COME_SOGGETTO	evt_observation
char_narrator	PARTECIPA_COME_SOGGETTO	evt_pondering
char_narrator	PARTECIPA_COME_SOGGETTO	evt_return_to_hotel
char_narrator	PARTECIPA_COME_SOGGETTO	evt_lunch_dinner_oxbridge
char_narrator	PARTECIPA_COME_SOGGETTO	evt_visit_british_museum
char_narrator	PARTECIPA_COME_SOGGETTO	evt_pursuit_of_truth
char_narrator	PARTECIPA_COME_SOGGETTO	evt_reading_catalogue
char_narrator	PARTECIPA_COME_SOGGETTO	evt_research_struggle
char_narrator	PARTECIPA_COME_SOGGETTO	evt_research_morning
char_narrator	PARTECIPA_COME_SOGGETTO	evt_drawing_professor
char_narrator	PARTECIPA_COME_SOGGETTO	evt_realization_anger
char_narrator	PARTECIPA_COME_SOGGETTO	evt_lunch_reflection
char_narrator	PARTECIPA_COME_SOGGETTO	evt_reading_newspaper
char_narrator	PARTECIPA_COME_SOGGETTO	evt_paying_bill
char_narrator	PARTECIPA_COME_DESTINATARIO	evt_legacy_received
char_narrator	PARTECIPA_COME_SOGGETTO	evt_lunch
char_narrator	PARTECIPA_COME_SOGGETTO	evt_psychological_transformation
char_narrator	PARTECIPA_COME_SOGGETTO	evt_walk_london
char_narrator	PARTECIPA_COME_SOGGETTO	evt_return_home
char_shakespeare	PARTECIPA_COME_SOGGETTO	evt_shakespeare_education
char_shakespeare	PARTECIPA_COME_SOGGETTO	evt_shakespeare_poaching
char_shakespeare	PARTECIPA_COME_SOGGETTO	evt_shakespeare_forced_marriage
char_shakespeare	PARTECIPA_COME_SOGGETTO	evt_shakespeare_london
char_shakespeare	PARTECIPA_COME_SOGGETTO	evt_shakespeare_theatre_work
char_shakespeare	COME	SOGGETTO_EROE
char_shakespeare	PARTECIPA_COME_SOGGETTO	evt_writing_lear
char_shakespeare	PARTECIPA_COME_SOGGETTO	evt_writing_antony_cleopatra
char_shakespeare	PARTECIPA_COME_SOGGETTO	evt_shakespeare_creation
char_shakespeare	PARTECIPA_COME_OPPONENTE_RIVALE	evt_final_exhortation
char_judith_shakespeare	PARTECIPA_COME_SOGGETTO	evt_judith_denied_education
char_judith_shakespeare	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_judith_betrothal
char_judith_shakespeare	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_judith_beaten
char_judith_shakespeare	PARTECIPA_COME_SOGGETTO	evt_judith_escape
char_judith_shakespeare	PARTECIPA_COME_SOGGETTO	evt_judith_stage_door
char_judith_shakespeare	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_judith_rejected
char_judith_shakespeare	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_judith_greene_affair
char_judith_shakespeare	PARTECIPA_COME_SOGGETTO	evt_judith_suicide
char_professor_trevelyon	PARTECIPA_COME_DONATORE	evt_narrator_consults_history
char_nick_greene	PARTECIPA_COME_SOGGETTO	evt_judith_rejected
char_nick_greene	PARTECIPA_COME_SOGGETTO	evt_judith_greene_affair
char_shakespeare_father	PARTECIPA_COME_SOGGETTO	evt_judith_beaten
evt_narrator_research	AVVIENE_IN	loc_library
evt_narrator_research	AVVIENE_DOPO	evt_narrator_consults_history
evt_narrator_consults_history	AVVIENE_IN	loc_library
