head	relation	tail
char_narrator	PARTECIPA_COME_SOGGETTO	evt_narrator_flees
char_narrator	PARTECIPA_COME_DESTINATARIO	evt_enlightenment
char_wicked_man	PARTECIPA_COME_SOGGETTO	evt_wicked_man_judgment
char_wicked_man	PARTECIPA_COME_OPPONENTE_RIVALE	evt_wicked_man_reading
char_saint	PARTECIPA_COME_SOGGETTO	evt_saint_judgment
char_saint	PARTECIPA_COME_OPPONENTE_RIVALE	evt_saint_reading
char_god	PARTECIPA_COME_DESTINANTE	evt_wicked_man_judgment
char_god	PARTECIPA_COME_DESTINANTE	evt_saint_judgment
char_god	PARTECIPA_COME_DONATORE	evt_enlightenment
char_recording_angel	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_wicked_man_judgment
char_recording_angel	PARTECIPA_COME_SOGGETTO	evt_wicked_man_reading
char_recording_angel	PARTECIPA_COME_SOGGETTO	evt_saint_reading
char_prophet	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_wicked_man_reading
evt_last_trump	COME	ESPOSIZIONE
evt_resurrection	AVVIENE_DOPO	evt_last_trump
evt_resurrection	AVVIENE_IN	loc_amphitheatral_space
evt_judgment_begins	AVVIENE_DOPO	evt_resurrection
evt_wicked_man_judgment	AVVIENE_DOPO	evt_judgment_begins
evt_wicked_man_judgment	COME	RIVELAZIONE_SCOPERTA
evt_wicked_man_judgment	AVVIENE_IN	loc_gods_palm
evt_wicked_man_reading	AVVIENE_DOPO	evt_wicked_man_judgment
evt_wicked_man_shame	AVVIENE_DOPO	evt_wicked_man_reading
evt_saint_judgment	AVVIENE_DOPO	evt_wicked_man_shame
evt_saint_judgment	COME	RIVELAZIONE_SCOPERTA
evt_saint_judgment	AVVIENE_IN	loc_gods_palm
evt_saint_reading	AVVIENE_DOPO	evt_saint_judgment
evt_saint_shame	AVVIENE_DOPO	evt_saint_reading
evt_narrator_flees	AVVIENE_DOPO	evt_saint_shame
evt_narrator_flees	AVVIENE_IN	loc_gods_sleeve
evt_return_to_planet	AVVIENE_DOPO	evt_narrator_flees
evt_return_to_planet	COME	RITORNO
evt_return_to_planet	AVVIENE_IN	loc_new_planet
evt_enlightenment	AVVIENE_DOPO	evt_return_to_planet
evt_enlightenment	COME	CAMBIAMENTO_DI_STATO
evt_enlightenment	AVVIENE_DOPO	evt_observation
loc_amphitheatral_space	COME	ALL_APERTO
loc_gods_palm	COME	SPAZIO_AFFETTIVO
loc_gods_sleeve	COME	AL_CHIUSO
loc_new_planet	COME	ALL_APERTO
char_young_lieutenant	COME	SOGGETTO_EROE
char_young_lieutenant	PARTECIPA_COME_SOGGETTO	evt_observation
char_young_lieutenant	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_shot
char_young_lieutenant	PARTECIPA_COME_SOGGETTO	evt_something_seen
char_war_correspondent	COME	SOGGETTO_EROE
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_observation
char_war_correspondent	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_shot
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_soldiers_pass
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_battle_begins
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_monster_appears
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_retreat
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_scramble_retreat
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_halt_ridge
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_decision_stay
char_war_correspondent	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_half_battery_fight
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_correspondent_escape
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_adventures
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_horse_theft
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_horse_shot
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_squad_company
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_quarrel
char_war_correspondent	PARTECIPA_COME_SOGGETTO	evt_final_surrender
char_enemy_soldier	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_observation
char_defender_soldiers	COME	AIUTANTE_MAGICO
char_defender_soldiers	PARTECIPA_COME_SOGGETTO	evt_defender_resistance
char_defender_soldiers	PARTECIPA_COME_SOGGETTO	evt_night_panic
char_defender_soldiers	PARTECIPA_COME_SOGGETTO	evt_gun_fired
char_defender_soldiers	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_soldiers_pass
char_invader_troops	COME	OPPONENTE_ANTAGONISTA
char_invader_troops	PARTECIPA_COME_SOGGETTO	evt_invader_advance
char_invader_troops	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_defender_resistance
char_invader_troops	PARTECIPA_COME_SOGGETTO	evt_prepared_lines
char_invader_troops	PARTECIPA_COME_SOGGETTO	evt_trench_digging
evt_observation	COME	ESPOSIZIONE
evt_observation	AVVIENE_IN	loc_observation_point
evt_shot	AVVIENE_IN	loc_observation_point
evt_war_declaration	COME	ESPOSIZIONE
evt_war_declaration	AVVIENE_DOPO	evt_observation
evt_invader_advance	COME	LOTTA_SCONTRO
evt_invader_advance	AVVIENE_IN	loc_frontier
evt_invader_advance	AVVIENE_DOPO	evt_war_declaration
evt_defender_resistance	COME	LOTTA_SCONTRO
evt_defender_resistance	AVVIENE_IN	loc_frontier
evt_defender_resistance	AVVIENE_DOPO	evt_invader_advance
evt_prepared_lines	COME	LOTTA_SCONTRO
evt_prepared_lines	AVVIENE_IN	loc_trenches
evt_prepared_lines	AVVIENE_DOPO	evt_defender_resistance
evt_trench_digging	COME	PREPARAZIONE
evt_trench_digging	AVVIENE_IN	loc_trenches
evt_trench_digging	AVVIENE_DOPO	evt_prepared_lines
evt_night_panic	COME	LOTTA_SCONTRO
evt_night_panic	AVVIENE_IN	loc_trenches
evt_night_panic	AVVIENE_DOPO	evt_trench_digging
evt_something_seen	COME	RIVELAZIONE_SCOPERTA
evt_something_seen	AVVIENE_IN	loc_trees
evt_something_seen	AVVIENE_DOPO	evt_night_panic
evt_gun_fired	COME	LOTTA_SCONTRO
evt_gun_fired	AVVIENE_IN	loc_trees
evt_gun_fired	AVVIENE_DOPO	evt_something_seen
evt_soldiers_pass	COME	SPOSTAMENTO_VIAGGIO
evt_soldiers_pass	AVVIENE_IN	loc_camp
evt_soldiers_pass	AVVIENE_DOPO	evt_gun_fired
evt_soldiers_pass	AVVIENE_DOPO	evt_battle_begins
loc_enemy_lines	COME	CAMPO_DI_BATTAGLIA
loc_trenches	COME	CAMPO_DI_BATTAGLIA
loc_camp	COME	SPAZIO_STRATEGICO
loc_observation_point	COME	SPAZIO_STRATEGICO
char_artist	COME	SOGGETTO_EROE
