head	relation	tail
char_jones	PARTECIPA_COME_SOGGETTO	evt_jones_awakens
char_jones	COME	OPPONENTE_ANTAGONISTA
char_jones	PARTECIPA_COME_SOGGETTO	evt_jones_drunk
char_jones	PARTECIPA_COME_OPPONENTE_RIVALE	evt_rebellion
char_jones	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_jones_expelled
char_jones	PARTECIPA_COME_SOGGETTO	evt_jones_complaint
char_jones	PARTECIPA_COME_SOGGETTO	evt_invasion_preparation
char_jones	PARTECIPA_COME_OPPONENTE_RIVALE	evt_battle_cowshed
char_jones	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_snowball_charges
char_jones	PARTECIPA_COME_SOGGETTO	evt_jones_shot
char_jones	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_snowball_attacks_jones
char_jones	PARTECIPA_COME_SOGGETTO	evt_men_retreat
char_old_major	PARTECIPA_COME_SOGGETTO	evt_major_speech
char_old_major	PARTECIPA_COME_DESTINANTE	evt_vote_rats
char_old_major	PARTECIPA_COME_SOGGETTO	evt_major_sings
char_old_major	COME	SOGGETTO_EROE
char_bluebell	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_major_speech
char_bluebell	PARTECIPA_COME_SOGGETTO	evt_rats_appear
char_bluebell	PARTECIPA_COME_SOGGETTO	evt_animals_sing
char_bluebell	PARTECIPA_COME_SOGGETTO	evt_battle
char_bluebell	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_puppies_taken
char_jessie	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_major_speech
char_jessie	PARTECIPA_COME_SOGGETTO	evt_rats_appear
char_jessie	PARTECIPA_COME_SOGGETTO	evt_animals_sing
char_jessie	PARTECIPA_COME_SOGGETTO	evt_battle
char_jessie	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_puppies_taken
char_pincher	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_major_speech
char_pincher	PARTECIPA_COME_SOGGETTO	evt_rats_appear
char_pincher	PARTECIPA_COME_SOGGETTO	evt_animals_sing
char_boxer	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_major_speech
char_boxer	PARTECIPA_COME_SOGGETTO	evt_animals_sing
char_boxer	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_windmill_rebuilding
char_boxer	PARTECIPA_COME_SOGGETTO	evt_boxer_questioning
char_boxer	PARTECIPA_COME_SOGGETTO	evt_boxer_defense
char_boxer	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_executions
char_boxer	PARTECIPA_COME_SOGGETTO	evt_boxer_work
char_boxer	COME	SOGGETTO_EROE
char_boxer	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_banknotes_inspection
char_boxer	PARTECIPA_COME_OPPONENTE_RIVALE	evt_attack
char_boxer	PARTECIPA_COME_SOGGETTO	evt_battle
char_boxer	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_victory_celebration
char_boxer	PARTECIPA_COME_SOGGETTO	evt_battle_windmill
char_boxer	PARTECIPA_COME_SOGGETTO	evt_funeral
char_boxer	PARTECIPA_COME_SOGGETTO	evt_hoof_healing
char_boxer	PARTECIPA_COME_SOGGETTO	evt_windmill_rebuild
char_boxer	PARTECIPA_COME_SOGGETTO	evt_boxer_collapse
char_boxer	PARTECIPA_COME_SOGGETTO	evt_boxer_taken_away
char_boxer	PARTECIPA_COME_SOGGETTO	evt_boxer_removal
char_boxer	PARTECIPA_COME_SOGGETTO	evt_boxer_kicking
char_boxer	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_secret_meetings
char_boxer	PARTECIPA_COME_SOGGETTO	evt_rebellion
char_boxer	COME	AIUTANTE_MAGICO
char_boxer	PARTECIPA_COME_SOGGETTO	evt_hay_harvest
char_boxer	PARTECIPA_COME_SOGGETTO	evt_corn_harvest
char_boxer	PARTECIPA_COME_SOGGETTO	evt_summer_work
char_boxer	PARTECIPA_COME_SOGGETTO	evt_reading_writing_classes
char_boxer	PARTECIPA_COME_SOGGETTO	evt_battle_cowshed
char_boxer	PARTECIPA_COME_SOGGETTO	evt_boxer_kills_stable_lad
char_boxer	PARTECIPA_COME_DESTINATARIO	evt_medals_awarded
char_boxer	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_quarry_work
char_boxer	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_autumn_building
char_clover	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_major_speech
char_clover	PARTECIPA_COME_SOGGETTO	evt_animals_sing
char_clover	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_windmill_rebuilding
char_clover	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_executions
char_clover	PARTECIPA_COME_SOGGETTO	evt_huddling
char_clover	PARTECIPA_COME_SOGGETTO	evt_singing
char_clover	PARTECIPA_COME_SOGGETTO	evt_commandment_discovery
char_clover	PARTECIPA_COME_SOGGETTO	evt_funeral
char_clover	COME	AIUTANTE_MAGICO
char_clover	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_hoof_healing
