head	relation	tail
char_u_po_kyin	COME	SOGGETTO_EROE
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_u_po_kyin_sitting
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_u_po_kyin_thinking
char_u_po_kyin	PARTECIPA_COME_OPPONENTE_RIVALE	evt_letter_received
char_u_po_kyin	PARTECIPA_COME_DONATORE	evt_pwe_invitation
char_u_po_kyin	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_sitting
char_u_po_kyin	COME	OPPONENTE_ANTAGONISTA
char_u_po_kyin	PARTECIPA_COME_OPPONENTE_RIVALE	evt_feud
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_boasting
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_anonymous_letters
char_u_po_kyin	PARTECIPA_COME_DESTINATARIO	evt_warder_betrayal
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_escape_letter
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_westfield_letter
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_mrs_lackersteen_letter
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_u_po_kyin_arranges_rebellion
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_u_po_kyin_crush_rebellion
char_u_po_kyin	PARTECIPA_COME_DONATORE	evt_ma_kin_revelation
char_u_po_kyin	PROVIENE_DA	loc_mandalay
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_conversation
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_disgrace_veraswami
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_u_po_kyin_elected
char_u_po_kyin	PARTECIPA_COME_OPPONENTE_RIVALE	evt_doctor_reveals_plot
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_sham_rebellion
char_u_po_kyin	PARTECIPA_COME_OPPONENTE_RIVALE	evt_opium_raid
char_u_po_kyin	COME	FALSO_EROE
char_u_po_kyin	PARTECIPA_COME_DESTINATARIO	evt_murder
char_u_po_kyin	PROVIENE_DA	loc_kyauktada
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_u_po_kyin_arrives
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_u_po_kyin_council
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_u_po_kyin_plan
char_u_po_kyin	PARTECIPA_COME_OPPONENTE_RIVALE	evt_ma_hla_may_intrusion
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_u_po_kyin_campaign
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_u_po_kyin_club_election
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_u_po_kyin_promotion
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_u_po_kyin_decoration
char_u_po_kyin	PARTECIPA_COME_SOGGETTO	evt_u_po_kyin_death
char_u_po_kyin	PARTECIPA_COME_OPPONENTE_RIVALE	evt_doctor_revelation
char_u_po_kyin	PARTECIPA_COME_OPPONENTE_RIVALE	evt_warning
char_ba_taik	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_ba_taik_appearing
char_ba_taik	PARTECIPA_COME_SOGGETTO	evt_pwe_invitation
char_ko_ba_sein	PARTECIPA_COME_SOGGETTO	evt_ba_sein_visit
char_macgregor	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_burmese_patriot_article
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_macgregor_exercises
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_macgregor_walk
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_macgregor_troubled
char_macgregor	PARTECIPA_COME_DESTINATARIO	evt_escape_letter
char_macgregor	PARTECIPA_COME_DESTINANTE	evt_ellis_reads_notice
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_macgregor_arrival
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_macgregor_conversation
char_macgregor	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_notice_confrontation
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_macgregor_response
char_macgregor	COME	SOGGETTO_EROE
char_macgregor	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_dancing
char_macgregor	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_dance
char_macgregor	PARTECIPA_COME_OPPONENTE_RIVALE	evt_club_discussion
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_group_departure
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_funeral
char_macgregor	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_riot
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_macgregor_confrontation
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_stone_shower
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_siege
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_flory_macgregor_talk
char_macgregor	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_church_service
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_macgregor_proposal
char_macgregor	PARTECIPA_COME_SOGGETTO	evt_macgregor_marriage
char_headman	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_village_visit
char_headman	PARTECIPA_COME_DONATORE	evt_tea_drinking
char_headman	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_arrival_village
char_headman	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_rest_veranda
evt_u_po_kyin_sitting	AVVIENE_IN	loc_veranda
evt_u_po_kyin_sitting	AVVIENE_DOPO	evt_u_po_kyin_thinking
evt_u_po_kyin_sitting	COME	ESPOSIZIONE
evt_u_po_kyin_thinking	AVVIENE_DOPO	evt_british_troops_mandalay
evt_u_po_kyin_thinking	COME	ESPOSIZIONE
evt_british_troops_mandalay	AVVIENE_DOPO	evt_po_kyin_government_appointment
evt_british_troops_mandalay	AVVIENE_IN	loc_mandalay
evt_british_troops_mandalay	COME	LOTTA_SCONTRO
evt_po_kyin_government_appointment	AVVIENE_DOPO	evt_po_kyin_bazaar_work
evt_po_kyin_government_appointment	COME	PREDICAMENTO
evt_po_kyin_bazaar_work	AVVIENE_DOPO	evt_blackmail_stroke
evt_po_kyin_bazaar_work	AVVIENE_IN	loc_mandalay_bazaars
evt_blackmail_stroke	AVVIENE_DOPO	evt_po_kyin_rangoon_clerkship
evt_blackmail_stroke	COME	RIVELAZIONE_SCOPERTA
evt_po_kyin_rangoon_clerkship	AVVIENE_DOPO	evt_po_kyin_denouncing_confederates
evt_po_kyin_rangoon_clerkship	AVVIENE_IN	loc_rangoon
evt_po_kyin_denouncing_confederates	AVVIENE_DOPO	evt_po_kyin_assistant_township_officer
evt_po_kyin_denouncing_confederates	COME	TRADIMENTO_ROTTURA
evt_po_kyin_assistant_township_officer	AVVIENE_DOPO	evt_po_kyin_rise_to_magistrate
evt_po_kyin_assistant_township_officer	COME	VITTORIA
evt_po_kyin_rise_to_magistrate	AVVIENE_DOPO	evt_ba_taik_appearing
evt_po_kyin_rise_to_magistrate	AVVIENE_IN	loc_kyauktada
evt_ba_taik_appearing	AVVIENE_DOPO	evt_ba_sein_visit
evt_ba_sein_visit	AVVIENE_DOPO	evt_burmese_patriot_article
evt_burmese_patriot_article	COME	RIVELAZIONE_SCOPERTA
loc_veranda	COME	AL_CHIUSO
loc_veranda	COME	ALL_APERTO
loc_veranda	COME	SPAZIO_AFFETTIVO
loc_veranda	COME	IL_SALOTTO
loc_kyauktada	COME	SPAZIO_STRATEGICO
loc_kyauktada	COME	ALL_APERTO
loc_kyauktada	PROVIENE_DA	loc_burma
loc_kyauktada	COME	SPAZIO_AFFETTIVO
loc_mandalay	COME	SPAZIO_STRATEGICO
loc_mandalay_bazaars	COME	ALL_APERTO
loc_rangoon	COME	SPAZIO_STRATEGICO
obj_burmese_patriot	AVVIENE_DOPO	evt_flory_sleeping
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_sleeping
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_ko_sla_wakes_flory
char_flory	PARTECIPA_COME_DESTINATARIO	evt_ma_hla_may_arrives
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_ma_hla_may_encounter
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_dismisses_ma_hla_may
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_prepares_walk
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_jungle_walk
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_reaches_stream
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_finds_pool
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_bathes
char_flory	COME	SOGGETTO_EROE
char_flory	PARTECIPA_COME_SOGGETTO	evt_bathing
char_flory	PARTECIPA_COME_SOGGETTO	evt_pigeon_observation
char_flory	PARTECIPA_COME_SOGGETTO	evt_journey_jungle
char_flory	PARTECIPA_COME_SOGGETTO	evt_getting_lost
char_flory	PARTECIPA_COME_SOGGETTO	evt_meeting_burman
char_flory	PARTECIPA_COME_SOGGETTO	evt_cart_ride
char_flory	PARTECIPA_COME_SOGGETTO	evt_village_visit
char_flory	PARTECIPA_COME_SOGGETTO	evt_tea_drinking
char_flory	PARTECIPA_COME_SOGGETTO	evt_grooming
char_flory	PARTECIPA_COME_SOGGETTO	evt_dinner
char_flory	PARTECIPA_COME_SOGGETTO	evt_going_to_club
char_flory	PARTECIPA_COME_SOGGETTO	evt_spanish_inquisition
char_flory	PARTECIPA_COME_SOGGETTO	evt_beating_poet
char_flory	PARTECIPA_COME_SOGGETTO	evt_second_school
char_flory	PARTECIPA_COME_SOGGETTO	evt_coming_to_burma
char_flory	PARTECIPA_COME_SOGGETTO	evt_rangoon_office
char_flory	PARTECIPA_COME_SOGGETTO	evt_debauchery
char_flory	PARTECIPA_COME_SOGGETTO	evt_jungle_camp
char_flory	PARTECIPA_COME_SOGGETTO	evt_acclimatization
char_flory	PARTECIPA_COME_SOGGETTO	evt_dodging_military
char_flory	PARTECIPA_COME_SOGGETTO	evt_mud_sores
char_flory	PARTECIPA_COME_SOGGETTO	evt_intellectual_development
char_flory	PARTECIPA_COME_SOGGETTO	evt_secret_life
char_flory	PARTECIPA_COME_SOGGETTO	evt_ship_westward
char_flory	PARTECIPA_COME_SOGGETTO	evt_cable_colombo
char_flory	PARTECIPA_COME_SOGGETTO	evt_return_rangoon
char_flory	PARTECIPA_COME_SOGGETTO	evt_train_headquarters
char_flory	PROVIENE_DA	loc_england
char_flory	PROVIENE_DA	loc_burma
char_flory	PARTECIPA_COME_SOGGETTO	evt_morning_routine
char_flory	PARTECIPA_COME_DESTINATARIO	evt_letter_delivery
char_flory	PARTECIPA_COME_SOGGETTO	evt_letter_reading
char_flory	PARTECIPA_COME_SOGGETTO	evt_letter_received
char_flory	PARTECIPA_COME_SOGGETTO	evt_letter_decision
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_rescue
char_flory	PARTECIPA_COME_SOGGETTO	evt_walk_maidan
char_flory	PARTECIPA_COME_SOGGETTO	evt_invitation
char_flory	PARTECIPA_COME_SOGGETTO	evt_veranda_conversation
char_flory	PARTECIPA_COME_SOGGETTO	evt_conversation
char_flory	PARTECIPA_COME_SOGGETTO	evt_buffalo_rescue
char_flory	PARTECIPA_COME_SOGGETTO	evt_ma_hla_may_appearance
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_dismissal
char_flory	PARTECIPA_COME_SOGGETTO	evt_farewell
char_flory	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_burmese_girl_revelation
char_flory	PARTECIPA_COME_SOGGETTO	evt_haircut
char_flory	PARTECIPA_COME_SOGGETTO	evt_dressing
char_flory	PARTECIPA_COME_SOGGETTO	evt_meeting
char_flory	PARTECIPA_COME_SOGGETTO	evt_walk
char_flory	PARTECIPA_COME_DESTINATARIO	evt_pwe_invitation
char_flory	PARTECIPA_COME_SOGGETTO	evt_sitting
char_flory	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_dance
char_flory	PARTECIPA_COME_SOGGETTO	evt_departure
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_church
char_flory	PARTECIPA_COME_SOGGETTO	evt_ten_days_together
char_flory	PARTECIPA_COME_SOGGETTO	evt_daily_meetings
char_flory	PARTECIPA_COME_SOGGETTO	evt_tennis_games
char_flory	PARTECIPA_COME_SOGGETTO	evt_bridge_playing
char_flory	PARTECIPA_COME_SOGGETTO	evt_conversation_burmese
char_flory	PARTECIPA_COME_SOGGETTO	evt_burmese_learning_attempt
char_flory	PARTECIPA_COME_SOGGETTO	evt_encounter_burmans_road
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_encounter_eurasians_club
char_flory	PARTECIPA_COME_SOGGETTO	evt_seduction
char_flory	PARTECIPA_COME_DESTINANTE	evt_elizabeth_questions
char_flory	PARTECIPA_COME_SOGGETTO	evt_pukka_sahib_remark
char_flory	PARTECIPA_COME_SOGGETTO	evt_shooting_arrangement
char_flory	PARTECIPA_COME_SOGGETTO	evt_walk_bazaar
char_flory	PARTECIPA_COME_SOGGETTO	evt_pass_jail
char_flory	PARTECIPA_COME_SOGGETTO	evt_reach_bazaar
char_flory	PARTECIPA_COME_SOGGETTO	evt_enter_bazaar
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_receive_letter
char_flory	PARTECIPA_COME_SOGGETTO	evt_enter_shop
char_flory	PARTECIPA_COME_DESTINATARIO	evt_tea_service
char_flory	PARTECIPA_COME_SOGGETTO	evt_walk_back
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_quarrel
char_flory	PARTECIPA_COME_SOGGETTO	evt_peace_restored
char_flory	PARTECIPA_COME_SOGGETTO	evt_return_home
char_flory	PARTECIPA_COME_SOGGETTO	evt_shooting_trip_planned
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_deserts
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_leaves_house
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_walks_down_road
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_arrives_club
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_meets_westfield
char_flory	PARTECIPA_COME_SOGGETTO	evt_enter_club
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_ellis_confronts_flory
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_visit
char_flory	PARTECIPA_COME_SOGGETTO	evt_doctor_consultation
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_apology
char_flory	PARTECIPA_COME_SOGGETTO	evt_notice_signing
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_anonymous_letters
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_doctor_reveals_plot
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_promise
char_flory	PARTECIPA_COME_SOGGETTO	evt_club_proposal
char_flory	PARTECIPA_COME_DESTINATARIO	evt_elizabeth_arrival
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_ma_hla_may_return
char_flory	PARTECIPA_COME_SOGGETTO	evt_confrontation
char_flory	PARTECIPA_COME_SOGGETTO	evt_rejection
char_flory	PARTECIPA_COME_DONATORE	evt_payment
char_flory	PARTECIPA_COME_SOGGETTO	evt_journey_upstream
char_flory	PARTECIPA_COME_SOGGETTO	evt_arrival_village
char_flory	PARTECIPA_COME_SOGGETTO	evt_rest_veranda
char_flory	PARTECIPA_COME_SOGGETTO	evt_journey_to_fields
char_flory	PARTECIPA_COME_SOGGETTO	evt_first_beat
char_flory	PARTECIPA_COME_SOGGETTO	evt_second_beat
char_flory	PARTECIPA_COME_SOGGETTO	evt_imperial_pigeon_shot
char_flory	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_elizabeth_sitting_shot
char_flory	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_jungle_cock_shot
char_flory	PARTECIPA_COME_AMANTE_AMATO	evt_hand_clasp
char_flory	PARTECIPA_COME_SOGGETTO	evt_leopard_first_shot
char_flory	PARTECIPA_COME_SOGGETTO	evt_leopard_attack
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_pursues
char_flory	PARTECIPA_COME_SOGGETTO	evt_leopard_killed
char_flory	PARTECIPA_COME_SOGGETTO	evt_return_village
char_flory	PARTECIPA_COME_SOGGETTO	evt_leopard_skinning
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_elizabeth_walk
char_flory	PARTECIPA_COME_DONATORE	evt_flory_gift
char_flory	PARTECIPA_COME_AMICO	char_dr_veraswami
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_response
char_flory	PARTECIPA_COME_SOGGETTO	evt_conversation_about_tour
char_flory	PARTECIPA_COME_SOGGETTO	evt_smutty_rhymes
char_flory	PARTECIPA_COME_SOGGETTO	evt_earthquake
char_flory	PARTECIPA_COME_SOGGETTO	evt_picking_up
char_flory	PARTECIPA_COME_SOGGETTO	evt_going_inside
char_flory	PARTECIPA_COME_SOGGETTO	evt_drinks
char_flory	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_butler_anecdotes
char_flory	PARTECIPA_COME_SOGGETTO	evt_proposal_delayed
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_bedtime
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_fall
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_elizabeth_rejection
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_recovery
char_flory	PARTECIPA_COME_SOGGETTO	evt_club_quarrel
char_flory	PARTECIPA_COME_SOGGETTO	evt_debate_veraswami
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_elizabeth_conversation
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_elizabeth_accusation
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_escape
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_reflection
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_ma_hla_may_confrontation
char_flory	PARTECIPA_COME_DONATORE	evt_flory_gives_cigarette_case
char_flory	PARTECIPA_COME_SOGGETTO	evt_row
char_flory	PARTECIPA_COME_SOGGETTO	evt_dismissal
char_flory	PARTECIPA_COME_SOGGETTO	evt_letter
char_flory	PARTECIPA_COME_SOGGETTO	evt_camp_problems
char_flory	PARTECIPA_COME_SOGGETTO	evt_engine_repair
char_flory	PARTECIPA_COME_SOGGETTO	evt_opium_raid
char_flory	PROVIENE_DA	loc_kyauktada
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_decides_return
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_night_march
char_flory	PARTECIPA_COME_SOGGETTO	evt_leopard_skin_ruined
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_visits_elizabeth
char_flory	PARTECIPA_COME_DONATORE	evt_flory_presents_skin
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_brings_skin
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_drinks_whisky
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_flory_carried_to_bed
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_ma_sein_galay_arrives
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_weeps
char_flory	PARTECIPA_COME_SOGGETTO	evt_club_discussion
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_departure
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_scandal_about_flory
char_flory	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_funeral
char_flory	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_riot
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_joins_crowd
char_flory	PARTECIPA_COME_SOGGETTO	evt_siege
char_flory	PARTECIPA_COME_SOGGETTO	evt_crowd_surge
char_flory	PARTECIPA_COME_SOGGETTO	evt_escape_crowd
char_flory	PARTECIPA_COME_SOGGETTO	evt_fire_order
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_heroism
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_elizabeth_meeting
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_kiss
char_flory	PARTECIPA_COME_OPPONENTE_RIVALE	evt_u_po_kyin_plan
char_flory	PARTECIPA_COME_SOGGETTO	evt_church_service
char_flory	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_ma_hla_may_intrusion
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_elizabeth_confrontation
char_flory	PARTECIPA_COME_SOGGETTO	evt_scene_in_church
char_flory	PARTECIPA_COME_SOGGETTO	evt_elizabeth_refusal
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_return
char_flory	PARTECIPA_COME_SOGGETTO	evt_flo_death
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_suicide
char_flory	PARTECIPA_COME_SOGGETTO	evt_flory_death
char_flory	PARTECIPA_COME_SOGGETTO	evt_mattu_arrival
char_flory	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_doctor_revelation
char_flory	PARTECIPA_COME_DESTINATARIO	evt_warning
char_ko_sla	PARTECIPA_COME_SOGGETTO	evt_ko_sla_awakens
char_ko_sla	PARTECIPA_COME_SOGGETTO	evt_ko_sla_wakes_flory
char_ko_sla	COME	AIUTANTE_MAGICO
char_ko_sla	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_grooming
char_ko_sla	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_dinner
char_ko_sla	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_morning_routine
char_ko_sla	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_wives_quarrel
char_ko_sla	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_farewell
char_ko_sla	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_dressing
char_ko_sla	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_cart_scene
char_ko_sla	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_journey_upstream
char_ko_sla	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_imperial_pigeon_shot
char_ko_sla	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_return_village
char_ko_sla	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_flory_recovery
char_ko_sla	PARTECIPA_COME_OPPONENTE_RIVALE	evt_engine_repair
char_ko_sla	COME	DONATORE_FORNITORE
char_ko_sla	PARTECIPA_COME_SOGGETTO	evt_flory_carried_to_bed
char_ko_sla	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_doctor_arrival
char_ko_sla	PARTECIPA_COME_DESTINATARIO	evt_ko_sla_inheritance
char_ko_sla	PARTECIPA_COME_SOGGETTO	evt_tea_shop_failure
char_ma_hla_may	PARTECIPA_COME_SOGGETTO	evt_ma_hla_may_arrives
char_ma_hla_may	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_flory_ma_hla_may_encounter
char_ma_hla_may	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_flory_dismisses_ma_hla_may
char_ma_hla_may	COME	OPPONENTE_ANTAGONISTA
char_ma_hla_may	PARTECIPA_COME_OPPONENTE_RIVALE	evt_ma_hla_may_appearance
char_ma_hla_may	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_flory_dismissal
char_ma_hla_may	PARTECIPA_COME_SOGGETTO	evt_cart_scene
char_ma_hla_may	PARTECIPA_COME_DESTINANTE	evt_receive_letter
char_ma_hla_may	PARTECIPA_COME_SOGGETTO	evt_ma_hla_may_return
char_ma_hla_may	PARTECIPA_COME_OPPONENTE_RIVALE	evt_confrontation
char_ma_hla_may	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_rejection
char_ma_hla_may	PARTECIPA_COME_DESTINATARIO	evt_payment
char_ma_hla_may	PARTECIPA_COME_SOGGETTO	evt_departure
char_ma_hla_may	PROVIENE_DA	loc_village
char_ma_hla_may	PARTECIPA_COME_SOGGETTO	evt_ma_hla_may_confrontation
char_ma_hla_may	PARTECIPA_COME_DESTINATARIO	evt_flory_gives_cigarette_case
char_ma_hla_may	PARTECIPA_COME_SOGGETTO	evt_ma_hla_may_intrusion
char_flo	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_flory_prepares_walk
char_flo	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_flory_jungle_walk
char_flo	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_flory_reaches_stream
char_flo	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_flory_bathes
char_flo	COME	AIUTANTE_MAGICO
char_flo	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_bathing
char_flo	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_journey_jungle
char_flo	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_getting_lost
char_flo	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_grooming
char_flo	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_flory_rescue
char_flo	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_peace_restored
char_flo	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_flory_walks_down_road
char_flo	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_flo_death
char_ba_pe	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_flory_carried_to_bed
char_ba_pe	PARTECIPA_COME_SOGGETTO	evt_tea_shop_failure
loc_bedroom	COME	AL_CHIUSO
loc_jungle_camp	COME	ALL_APERTO
loc_jungle_camp	COME	RIFUGIO
loc_club	COME	AL_CHIUSO
loc_club	COME	IL_SALOTTO
loc_club	COME	SPAZIO_STRATEGICO
loc_club	COME	IL_CASTELLO
loc_club	PROVIENE_DA	loc_kyauktada
loc_club	COME	CAMPO_DI_BATTAGLIA
loc_jungle	COME	ALL_APERTO
loc_jungle	COME	CAMPO_DI_BATTAGLIA
loc_pool	COME	RIFUGIO
loc_pool	COME	ALL_APERTO
evt_flory_sleeping	COME	ESPOSIZIONE
evt_flory_sleeping	AVVIENE_IN	loc_bedroom
evt_ko_sla_awakens	COME	ESPOSIZIONE
evt_ko_sla_awakens	AVVIENE_IN	loc_cookhouse
evt_ko_sla_awakens	AVVIENE_DOPO	evt_flory_sleeping
evt_ko_sla_wakes_flory	COME	ESPOSIZIONE
evt_ko_sla_wakes_flory	AVVIENE_IN	loc_bedroom
evt_ko_sla_wakes_flory	AVVIENE_DOPO	evt_ko_sla_awakens
evt_ma_hla_may_arrives	COME	ESPOSIZIONE
evt_ma_hla_may_arrives	AVVIENE_IN	loc_bedroom
evt_ma_hla_may_arrives	AVVIENE_DOPO	evt_ko_sla_wakes_flory
evt_flory_ma_hla_may_encounter	COME	CAMBIAMENTO_DI_STATO
