head	relation	tail
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_departure_from_munich
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_arrival_vienna
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_arrival_klausenburgh
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_dinner_klausenburgh
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_research_british_museum
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_train_journey_day
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_arrival_bistritz
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_meeting_landlady
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_receives_letter
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_landlord_inquiry
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_landlady_warning
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_crucifix_gift
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_departure_coach
char_jonathan_harker	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_count_awakens_jonathan
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_jonathan_requests_leave
char_jonathan_harker	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_wolves_appear
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_jonathan_refuses_leave
char_jonathan_harker	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_weird_sisters_visit
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_jonathan_dawn
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_jonathan_finds_door_locked
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_jonathan_scales_wall
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_jonathan_finds_count_in_box
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_jonathan_attacks_count
char_jonathan_harker	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_jonathan_trapped
char_jonathan_harker	COME	SOGGETTO_EROE
char_jonathan_harker	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_no_letter
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_jonathan_letter
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_silence
char_jonathan_harker	COME	OGGETTO_DI_VALORE
char_jonathan_harker	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_jonathan_letter_arrival
char_jonathan_harker	PARTECIPA_COME_DESTINATARIO	evt_mina_departure
char_jonathan_harker	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_jonathan_illness
char_jonathan_harker	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_mina_finds_jonathan
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_jonathan_notebook
char_jonathan_harker	PARTECIPA_COME_CONIUGE_FAMILIARE	evt_mina_jonathan_marriage
char_jonathan_harker	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_dinner
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_departure
char_jonathan_harker	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_crowd_warning
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_journey
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_borgo_pass
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_transfer
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_night_journey
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_midnight
char_jonathan_harker	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_dogs_howl
char_jonathan_harker	PROVIENE_DA	loc_bistritz
char_jonathan_harker	PROVIENE_DA	loc_bistritz_inn
char_jonathan_harker	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_watching
char_jonathan_harker	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_lucy_transformation
char_jonathan_harker	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_arthur_reunion
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_mina_letter1
char_jonathan_harker	PARTECIPA_COME_DESTINATARIO	evt_hawkins_inheritance
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_midnight_check
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_horses_panic
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_wolves_ring
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_narrator_calls_driver
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_arrival_castle
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_night_vigil
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_wedding
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_encounter
char_jonathan_harker	PROVIENE_DA	loc_whitby
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_jonathan_bad_night
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_jonathan_brain_fever
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_jonathan_shock
char_jonathan_harker	COME	DESTINATARIO_BENEFICIARIO
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_waiting_at_door
char_jonathan_harker	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_welcome_greeting
char_jonathan_harker	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_dracula_carries_luggage
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_supper_preparation
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_supper_meal
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_conversation_by_fire
char_jonathan_harker	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_dracula_departure
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_gathering
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_enter_tomb
char_jonathan_harker	PARTECIPA_COME_DESTINATARIO	evt_preparation
char_jonathan_harker	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_stake_driving
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_final_rites
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_promise
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_seward_meets_mina
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_arrival_seward_house
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_meeting
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_compact
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_separation
char_jonathan_harker	PARTECIPA_COME_DESTINATARIO	evt_introduction
char_jonathan_harker	PARTECIPA_COME_DESTINATARIO	evt_handshakes
char_jonathan_harker	PARTECIPA_COME_DESTINATARIO	evt_appeal
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_search_party
char_jonathan_harker	PARTECIPA_COME_SOGGETTO	evt_enter_house
