head	relation	tail
char_emma_bovary	COME	SOGGETTO_EROE
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_reading
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_dreaming_paris
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_viscount_memory
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_emma_dressing
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_emma_charming_charles
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_emma_anger
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_ball_anticipation
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_disappointment
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_emma_giving_up
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_sunday_sadness
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_garden_visit
char_emma_bovary	PROVIENE_DA	loc_convent
char_emma_bovary	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_organ_music
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_meal_times
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_madame_bovary_visit
char_emma_bovary	PARTECIPA_COME_DESTINATARIO	evt_rouault_visit
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_emma_illness
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_wedding_bouquet_burn
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_departure_tostes
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_arrival_yonville
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_dog_lost
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_bovarys_enter_kitchen
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_dinner_gathering
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_dinner
char_emma_bovary	PARTECIPA_COME_AMANTE_AMATO	evt_conversation
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_departure
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_arrival_house
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_morning_encounter
char_emma_bovary	PROVIENE_DA	loc_tostes
char_emma_bovary	PROVIENE_DA	loc_vaubyessard
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_pregnancy
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_confinement
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_naming
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_visit_nurse
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_walk_with_leon
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_walk_riverside
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_conversation_dancers
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_emma_moves_sitting_room
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_homais_dinner
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_soiree_homais
char_emma_bovary	PARTECIPA_COME_SOGGETTO	evt_card_game
char_emma_bovary	PARTECIPA_COME_DESTINATARIO	evt_leon_reading
char_emma_bovary	PARTECIPA_COME_DESTINATARIO	evt_gift_exchange
char_emma_bovary	PARTECIPA_COME_DONATORE	evt_rug_gift
