head	relation	tail
char_usher	COME	SOGGETTO_EROE
char_usher	PARTECIPA_COME_SOGGETTO	evt_dusting_grammars
char_usher	PARTECIPA_COME_SOGGETTO	evt_teaching_whale_name
char_herman_melville	PARTECIPA_COME_DONATORE	evt_etext_preparation
char_daniel_lazarus	PARTECIPA_COME_SOGGETTO	evt_etext_preparation
char_jonesey	PARTECIPA_COME_SOGGETTO	evt_etext_preparation
evt_dusting_grammars	COME	ESPOSIZIONE
evt_dusting_grammars	AVVIENE_IN	loc_grammar_school
evt_dusting_grammars	AVVIENE_DOPO	evt_teaching_whale_name
evt_teaching_whale_name	COME	ESPOSIZIONE
evt_teaching_whale_name	AVVIENE_IN	loc_grammar_school
evt_etext_preparation	COME	PREPARAZIONE
evt_etext_preparation	AVVIENE_DOPO	evt_waking
loc_grammar_school	COME	AL_CHIUSO
char_whale	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_teaching_whale_name
char_whale	COME	OPPONENTE_ANTAGONISTA
char_whale	PARTECIPA_COME_OPPONENTE_RIVALE	evt_whale_confines_speaker
char_whale	PARTECIPA_COME_SOGGETTO	evt_whale_swallows
char_whale	PARTECIPA_COME_SOGGETTO	evt_whale_vomits
char_whale	PARTECIPA_COME_OPPONENTE_RIVALE	evt_leg_loss
char_whale	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_ahab_shout
char_whale	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_ahab_confession
char_whale	PARTECIPA_COME_OPPONENTE_RIVALE	evt_oath_ceremony
char_whale	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_ahab_soliloquy
char_whale	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_hunt
char_whale	PARTECIPA_COME_OPPONENTE_RIVALE	evt_oath_taking
char_whale	PARTECIPA_COME_OPPONENTE_RIVALE	evt_whale_encounters
char_whale	PARTECIPA_COME_OPPONENTE_RIVALE	evt_ahab_encounter
char_whale	PARTECIPA_COME_OPPONENTE_RIVALE	evt_pursuit
char_whale	PARTECIPA_COME_OPPONENTE_RIVALE	evt_assault
char_whale	PARTECIPA_COME_OPPONENTE_RIVALE	evt_harpoon
char_whale	PARTECIPA_COME_OPPONENTE_RIVALE	evt_threat
char_whale	PARTECIPA_COME_OPPONENTE_RIVALE	evt_encounter
char_whale	COME	OGGETTO_DI_VALORE
char_whale	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_whaling_voyage
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_waking
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_childhood_memory
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_breakfast
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_narrator_ponders
char_ishmael	COME	SOGGETTO_EROE
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_narrator_meets_queequeg
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_queequeg_agrees_to_accompany
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_queequeg_embraces_narrator
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_narrator_bonds_with_queequeg
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_arrival
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_journey_to_inn
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_supper
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_clam_chowder
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_cod_chowder
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_interview
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_lay_negotiation
char_ishmael	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_quarrel
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_signing
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_inquiry
char_ishmael	PARTECIPA_COME_DESTINATARIO	evt_peleg_warning
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_narrator_reflection
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_ishmael_disturbs
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_door_locked
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_alarm
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_harpoon_found
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_chambermaid_called
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_door_burst
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_queequeg_found
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_ishmael_supper
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_queequeg_still_sitting
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_ishmael_covers_queequeg
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_ishmael_sleeps
char_ishmael	PARTECIPA_COME_DESTINATARIO	evt_ramadan_ends
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_ishmael_argues
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_dyspepsia_discussion
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_board_pequod
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_preparations
char_ishmael	PARTECIPA_COME_SOGGETTO	evt_ishmael_queequeg_departure
