head	relation	tail
loc_french_riviera	COME	SPAZIO_AFFETTIVO
loc_french_riviera	COME	ALL_APERTO
loc_gausse_hotel	COME	SPAZIO_AFFETTIVO
loc_gausse_hotel	COME	AL_CHIUSO
loc_gausse_beach	COME	ALL_APERTO
loc_cannes	AVVIENE_IN	evt_november_season_change
loc_cannes	AVVIENE_IN	evt_meeting_new_people
loc_cannes	COME	ALL_APERTO
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_arrival
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_rosemary_beach
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_rosemary_swimming
char_rosemary_hoyt	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_campion_warning
char_rosemary_hoyt	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_campion_introduction
char_rosemary_hoyt	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_group_recognition
char_rosemary_hoyt	COME	OGGETTO_DI_VALORE
char_rosemary_hoyt	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_dick_explains_battle
char_rosemary_hoyt	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_grenade_game
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_memorial_tears
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_car_journey
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_amiens_evening
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_train_to_paris
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_paris_arrival
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_houseboat_cafe
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_champagne_drinking
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_rosemary_birthday
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_conversation_taxi
char_rosemary_hoyt	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_kiss_taxi
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_rosemary_declaration
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_seduction_attempt
char_rosemary_hoyt	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_dick_refusal
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_waking_up
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_fittings
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_taxi_conversation
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_lunch
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_film_screening
char_rosemary_hoyt	PARTECIPA_COME_SOGGETTO	evt_screen_test_proposal
