head	relation	tail
char_nick_carraway	COME	SOGGETTO_EROE
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_advice
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_college
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_return_east
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_work
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_affair
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_dinner_yale
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_study
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_walks
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_reconnect_jordan
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_house_party
char_nick_carraway	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_conversation
char_nick_carraway	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_gatsby_arrives
char_nick_carraway	PARTECIPA_COME_DESTINATARIO	evt_lunch_invitation
char_nick_carraway	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_car_ride
char_nick_carraway	PARTECIPA_COME_DESTINATARIO	evt_gatsby_confession
char_nick_carraway	PARTECIPA_COME_DESTINATARIO	evt_gatsby_shows_medal
char_nick_carraway	PARTECIPA_COME_DESTINATARIO	evt_gatsby_shows_photo
char_nick_carraway	PARTECIPA_COME_DESTINATARIO	evt_gatsby_request
char_nick_carraway	PARTECIPA_COME_DESTINATARIO	evt_gatsby_jordan_matter
char_nick_carraway	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_drive_through_astoria
char_nick_carraway	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_queensboro_bridge
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_lunch
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_meeting_tom
char_nick_carraway	PARTECIPA_COME_DESTINATARIO	evt_invitation
char_nick_carraway	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_garden
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_supper
char_nick_carraway	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_kiss
char_nick_carraway	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_departure_night
char_nick_carraway	PROVIENE_DA	loc_new_york
char_nick_carraway	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_gatsby_conversation
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_nick_visits
char_nick_carraway	PARTECIPA_COME_DESTINATARIO	evt_gatsby_calls
char_nick_carraway	PARTECIPA_COME_DESTINATARIO	evt_daisy_calls
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_train_journey
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_arrival_buchanans
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_departure
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_drive_to_town
char_nick_carraway	PROVIENE_DA	loc_midwest
char_nick_carraway	PROVIENE_DA	loc_chicago
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_graduation
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_great_war
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_move_east
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_renting_house
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_meeting_stranger
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_dinner
char_nick_carraway	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_meeting_baker
char_nick_carraway	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_enter_plaza_suite
char_nick_carraway	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_inquest
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_nick_spies_on_buchanans
char_nick_carraway	COME	AIUTANTE_MAGICO
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_narrator_finds_gatsby
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_narrator_calls_daisy
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_narrator_seeks_wolfsheim
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_meyer_letter
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_slagle_call
char_nick_carraway	PARTECIPA_COME_SOGGETTO	evt_carraway_visits_wolfsheim
char_nick_carraway	PARTECIPA_COME_DESTINANTE	evt_wolfsheim_refuses_funeral
