head	relation	tail
char_time_traveller	COME	SOGGETTO_EROE
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_time_machine_invention
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_time_travel
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_observation
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_encounter
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_matches
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_revelation
char_time_traveller	PARTECIPA_COME_OPPONENTE_RIVALE	evt_theory_development
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_questioning
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_comfort
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_hesitation
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_exploration_palace
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_descent_well
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_encounter_morlocks
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_cavern_discovery
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_morlock_attack
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_ascent_escape
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_return_surface
char_time_traveller	PROVIENE_DA	loc_surface
char_time_traveller	PROVIENE_DA	loc_underground
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_discovery_morlocks
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_journey_palace
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_night_vigil
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_realization_meat
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_planning_escape
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_approach_palace
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_enter_palace
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_explore_palaeontology
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_explore_minerals
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_explore_natural_history
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_explore_machines
char_time_traveller	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_weena_warns
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_obtain_mace
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_explore_books
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_explore_chemistry
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_find_matches
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_dance
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_find_camphor
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_explore_arms
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_find_dynamite
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_test_dynamite
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_rest_court
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_plan_night
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_departure
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_gathering_wood
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_reaching_wood
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_lighting_fire
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_entering_forest
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_traveler_disoriented
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_building_campfire
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_traveler_sleeps
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_morlock_assault
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_traveler_fights_back
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_forest_fire
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_traveler_escapes
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_morlocks_blinded
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_weena_lost
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_dawn
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_traveler_leaves
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_discovery
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_reflection
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_grief
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_theorizing
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_sleep
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_awakening
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_approach_sphinx
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_entry
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_trap
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_struggle
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_escape
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_time_travel_forward
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_arrival_beach
char_time_traveller	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_crab_approach
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_second_crab_attack
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_escape_month
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_hundred_years_forward
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_thousand_years_strides
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_eclipse_begins
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_traveller_dismounts
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_round_creature_seen
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_traveller_faints
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_return_journey
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_arrival_laboratory
char_time_traveller	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_story_telling
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_verification_machine
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_narrator_return_visit
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_time_machine_vanishes
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_time_traveller_disappearance
char_time_traveller	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_exposition
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_discussion
char_time_traveller	PARTECIPA_COME_SOGGETTO	evt_model_presentation
char_time_traveller	PARTECIPA_COME_DESTINANTE	evt_model_disappearance
